Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6
,,,,,,,,439,9452,15360,10230,20041,17244,9222
,,,,,,,,440,8381,13957,10152,19118,17209,9083
,,,,,,,,441,7855,13380,10213,18489,17796,9167
,,,,,,,,442,7766,13288,10383,17879,18141,9319
,,,,,,,,443,7936,13518,10495,17691,18264,9510
,,,,,,,,444,8611,14501,10704,17805,18309,9783
,,,,,,,,445,9498,15830,10892,18074,18484,10175
,,,,,,,,446,10946,18028,11151,18813,18570,10961
,,,,,,,,447,13020,21148,11423,19530,19100,11112
,,,,,,,,448,14594,23387,11307,19805,19702,11010
,,,,,,,,449,15538,24405,11141,19941,19778,10883
,,,,,,,,450,15460,24187,11304,20953,20637,10920
,,,,,,,,451,16019,25060,11566,22168,21585,10910
,,,,,,,,452,16315,25524,11852,23009,22289,11035
,,,,,,,,453,17047,26670,11894,23485,22642,10775
,,,,,,,,454,17029,26641,11698,23574,22614,10285
,,,,,,,,455,16579,25937,11463,23591,21980,9982
,,,,,,,,456,16184,25318,11328,24200,21030,9939
,,,,,,,,457,15916,24900,11417,24437,20456,9931
,,,,,,,,458,15747,24636,11244,24033,19276,9682
,,,,,,,,459,14758,23087,10915,23553,17966,9311
,,,,,,,,460,13991,21859,10699,23101,17402,9271
,,,,,,,,461,12998,20251,10675,22497,17496,9400
,,,,,,,,462,11422,18056,10545,21099,17530,9050
,,,,,,,,463,9826,15917,10114,19464,17379,8963
,,,,,,,,464,8864,14683,10192,18279,17231,9036
,,,,,,,,465,8343,14015,10290,17698,17924,9126
,,,,,,,,466,8320,14046,10346,17110,18204,9271
,,,,,,,,467,8488,14300,10409,16941,18148,9429
,,,,,,,,468,9075,15196,10548,16901,18041,9791
,,,,,,,,469,9855,16375,10713,17376,18148,10222
,,,,,,,,470,11178,18383,10953,18396,18103,10806
,,,,,,,,471,13143,21327,11264,19450,18504,10876
,,,,,,,,472,14742,23629,11258,19960,19352,10901
,,,,,,,,473,15651,24570,11004,20123,19338,10943
,,,,,,,,474,15542,24315,11076,20684,20154,11004
,,,,,,,,475,16026,25071,11262,21731,21188,10961
,,,,,,,,476,16259,25436,11490,22604,21814,11015
,,,,,,,,477,16960,26532,11579,22916,22081,10774
,,,,,,,,478,17070,26705,11441,22915,22215,10354
,,,,,,,,479,16746,26198,11307,22957,21857,10120
