Time_Index,None,pacific_naturalgas,rockies_naturalgas,rockies_uranium,pacific_uranium,pacific_naturalgas_ccs90,pacific_naturalgas_ccs100,rockies_naturalgas_ccs90,rockies_naturalgas_ccs100
294,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
295,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
296,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
297,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
298,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
299,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
300,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
301,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
302,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
303,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
304,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
305,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
306,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
307,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
308,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
309,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
310,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
311,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
312,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
313,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
314,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
315,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
316,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
317,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
318,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
319,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
320,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
321,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
322,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
323,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
324,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
325,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
326,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
327,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
328,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
329,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
330,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
331,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
332,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
333,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
334,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
335,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
336,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
337,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
338,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
339,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
340,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
341,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
342,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
343,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
344,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
345,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
346,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
347,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
348,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
349,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
350,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
351,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
352,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
353,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
354,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
355,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
356,0.0,3.58,3.78,0.66,0.66,3.58,3.58,3.78,3.78
